filepath,start_time,train_test_split,end_time,method,number of sample,test_return_mean,test_return_std,Sharper ratio,Loss_Probability,Conditional Loss,VaR,CVaR
../factor model/10_Industry_Portfolios_Monthly.csv,201001,201412,201801,naive policy 1/N portfolios,36,0.746166667,2.763603138,0.269997764,0.277777778,2.5052,3.46725,0.289416667
,,,,,,,,,,,,
../factor model/10_Industry_Portfolios_Monthly.csv,201001,201412,201801,Markowitz_revised gamma = 0.1,36,0.470081626,3.076016582,0.152821551,0.361111111,2.406325537,6.32415667,0.44094037
../factor model/10_Industry_Portfolios_Monthly.csv,201001,201412,201801,Markowitz_revised gamma = 0.5,36,0.68236328,2.260390545,0.301878488,0.388888889,1.436775867,2.274776099,0.226586473
../factor model/10_Industry_Portfolios_Monthly.csv,201001,201412,201801,Markowitz_revised gamma = 0.9,36,0.722021724,2.22777291,0.324100235,0.388888889,1.337145169,2.216753935,0.217409941
,,,,,,,,,,,,
../factor model/10_Industry_Portfolios_Monthly.csv,201001,201412,201801,SAA_CVaR,36,0.784347579,2.437426163,0.32179337,0.361111111,1.691309066,2.220274832,0.266049066
../factor model/10_Industry_Portfolios_Monthly.csv,201001,201412,201801,Popescu 2007,36,0.746789805,2.22635039,0.335432288,0.361111111,1.393970289,2.289247392,0.218334572
,,,,,,,,,,,,
../factor model/10_Industry_Portfolios_Monthly.csv,201001,201412,201801,Popescu 2 cluster portfolios (3factor),36,0.604082042,2.307627856,0.261776196,0.416666667,1.448365322,2.518775867,0.215145896
../factor model/10_Industry_Portfolios_Monthly.csv,201001,201412,201801,Popescu 3 cluster portfolios (3factor),36,0.652188939,2.309218104,0.282428471,0.416666667,1.438215945,2.479630402,0.21118575
../factor model/10_Industry_Portfolios_Monthly.csv,201001,201412,201801,Popescu 4 cluster portfolios (3factor),36,0.626729342,2.336898036,0.26818857,0.416666667,1.495511683,2.64888641,0.214133707
,,,,,,,,,,,,
../factor model/10_Industry_Portfolios_Monthly.csv,201001,201412,201801,Popescu 2 cluster portfolios (return),36,1.029101814,2.511276823,0.409792264,0.305555556,1.753096356,2.295222827,0.222744902
../factor model/10_Industry_Portfolios_Monthly.csv,201001,201412,201801,Popescu 3 cluster portfolios (return),36,0.81488902,2.597290551,0.313745807,0.361111111,1.760618899,2.7882395,0.251658647
../factor model/10_Industry_Portfolios_Monthly.csv,201001,201412,201801,Popescu 4 cluster portfolios (return),36,0.868184627,2.758576156,0.314722008,0.305555556,2.224404873,3.419759892,0.272752228
,,,,,,,,,,,,
filepath,start_time,train_test_split,end_time,method,number of sample,test_return_mean,test_return_std,Sharper ratio,Loss_Probability,Conditional Loss,VaR,CVaR
../factor model/10_Industry_Portfolios_Monthly.csv,200501,200912,201301,naive policy 1/N portfolios,36,1.103944444,4.357833215,0.253324161,0.361111111,3.487461538,5.933,0.41275
,,,,,,,,,,,,
../factor model/10_Industry_Portfolios_Monthly.csv,200501,200912,201301,Markowitz_revised gamma = 0.1,36,1.129048449,3.14410497,0.359100113,0.444444444,1.774296551,3.4938709,0.300513051
../factor model/10_Industry_Portfolios_Monthly.csv,200501,200912,201301,Markowitz_revised gamma = 0.5,36,1.10706871,2.954260524,0.374736318,0.444444444,1.615804209,2.960223954,0.272565619
../factor model/10_Industry_Portfolios_Monthly.csv,200501,200912,201301,Markowitz_revised gamma = 0.9,36,1.103116629,2.949395801,0.374014443,0.444444444,1.60659863,2.871347547,0.272098622
,,,,,,,,,,,,
../factor model/10_Industry_Portfolios_Monthly.csv,200501,200912,201301,SAA_CVaR,36,1.20414146,3.272462123,0.367961924,0.333333333,2.441601862,4.20392124,0.318753797
../factor model/10_Industry_Portfolios_Monthly.csv,200501,200912,201301,Popescu 2007,36,1.101838304,2.948678212,0.373671939,0.444444444,1.603873321,2.839728663,0.272173153
,,,,,,,,,,,,
../factor model/10_Industry_Portfolios_Monthly.csv,200501,200912,201301,Popescu 2 cluster portfolios (3factor),36,1.161078051,2.905529321,0.399609821,0.361111111,1.896255866,2.960115273,0.267604115
../factor model/10_Industry_Portfolios_Monthly.csv,200501,200912,201301,Popescu 3 cluster portfolios (3factor),36,1.220163013,2.905298676,0.419978511,0.388888889,1.666342969,2.762913602,0.264922554
../factor model/10_Industry_Portfolios_Monthly.csv,200501,200912,201301,Popescu 4 cluster portfolios (3factor),36,1.236690885,2.876189254,0.42997549,0.388888889,1.64869249,2.746268742,0.265924887
,,,,,,,,,,,,
../factor model/10_Industry_Portfolios_Monthly.csv,200501,200912,201301,Popescu 2 cluster portfolios (return),36,1.137746337,2.959445606,0.384445767,0.388888889,1.766046704,3.213541914,0.261163248
../factor model/10_Industry_Portfolios_Monthly.csv,200501,200912,201301,Popescu 3 cluster portfolios (return),36,1.167448712,3.154754606,0.37006007,0.333333333,2.344369494,3.84865497,0.297615117
../factor model/10_Industry_Portfolios_Monthly.csv,200501,200912,201301,Popescu 4 cluster portfolios (return),36,1.09861001,3.43192337,0.320114959,0.333333333,2.724972536,4.98852627,0.32308442
filepath,start_time,train_test_split,end_time,method,number of sample,test_return_mean,test_return_std,Sharper ratio,Loss_Probability,Conditional Loss,VaR,CVaR
../factor model/10_Industry_Portfolios_Monthly.csv,200601,201012,201401,naive policy 1/N portfolios,36,1.370777777777778,3.435409373237547,0.3990143906738981,0.3055555555555556,2.583818181818182,5.332000000000001,0.35500000000000004
""
../factor model/10_Industry_Portfolios_Monthly.csv,200601,201012,201401,Markowitz_revised gamma = 0.1,36,1.3887498306819368,2.699398630878149,0.5144663758794894,0.3611111111111111,1.616429116783241,2.9884208772519814,0.23630099116061073
../factor model/10_Industry_Portfolios_Monthly.csv,200601,201012,201401,Markowitz_revised gamma = 0.5,36,1.3147772499867085,2.631558183822466,0.49961929706487834,0.3333333333333333,1.6927220814092476,3.5270316691466075,0.21930923671508737
../factor model/10_Industry_Portfolios_Monthly.csv,200601,201012,201401,Markowitz_revised gamma = 0.9,36,1.3086357928316064,2.6406953513188305,0.4955648489243715,0.3333333333333333,1.6902137780286135,3.6735846293223027,0.21691136461830146
""
../factor model/10_Industry_Portfolios_Monthly.csv,200601,201012,201401,SAA_CVaR,36,1.5280934825905996,2.6450101640436725,0.5777268848957696,0.3055555555555556,1.5890197203977923,2.9893146907665304,0.219699705661346
../factor model/10_Industry_Portfolios_Monthly.csv,200601,201012,201401,Popescu 2007,36,1.3063754065377453,2.6436910437917134,0.49414828922825893,0.3333333333333333,1.6887807055285815,3.691262305851799,0.2173187512529814
""
../factor model/10_Industry_Portfolios_Monthly.csv,200601,201012,201401,Popescu 2 cluster portfolios (3factor),36,1.4266867867561759,2.586873030680385,0.5515101707102094,0.3055555555555556,1.6643624563742518,2.946304836677988,0.2189245639920675
../factor model/10_Industry_Portfolios_Monthly.csv,200601,201012,201401,Popescu 3 cluster portfolios (3factor),36,1.3862678342269534,2.565462656014648,0.5403578301858697,0.3055555555555556,1.6809161769577834,2.8820439411268484,0.21790262298836993
../factor model/10_Industry_Portfolios_Monthly.csv,200601,201012,201401,Popescu 4 cluster portfolios (3factor),36,1.3824601102905583,2.569227248384461,0.5380840138449621,0.3055555555555556,1.7040179995208626,2.9712434298067705,0.21736984686545988
""
../factor model/10_Industry_Portfolios_Monthly.csv,200601,201012,201401,Popescu 2 cluster portfolios (return),36,1.4610767606610227,2.5987991856577577,0.5622122589249708,0.3611111111111111,1.3258967729161517,2.6761746928819363,0.21225351312290597
../factor model/10_Industry_Portfolios_Monthly.csv,200601,201012,201401,Popescu 3 cluster portfolios (return),36,1.515762430413796,2.725476431376295,0.5561458587438143,0.3055555555555556,1.702884072849976,3.77245365924089,0.21614133107263514
../factor model/10_Industry_Portfolios_Monthly.csv,200601,201012,201401,Popescu 4 cluster portfolios (return),36,1.506448697014518,2.801852732779446,0.537661626319709,0.2777777777777778,1.916084038139107,3.637581806747733,0.24434110883774915
""
""
filepath,start_time,train_test_split,end_time,method,number of sample,test_return_mean,test_return_std,Sharper ratio,Loss_Probability,Conditional Loss,VaR,CVaR
../factor model/10_Industry_Portfolios_Monthly.csv,200701,201112,201501,naive policy 1/N portfolios,36,1.5688055555555556,2.5931238756398782,0.6049867383093828,0.25,2.1468888888888893,2.9742500000000005,0.23708333333333334
""
../factor model/10_Industry_Portfolios_Monthly.csv,200701,201112,201501,Markowitz_revised gamma = 0.1,36,1.1733424196929265,2.6538986068175667,0.4421202892524763,0.3611111111111111,1.7958365357575916,2.9884208772519814,0.2749111723451077
../factor model/10_Industry_Portfolios_Monthly.csv,200701,201112,201501,Markowitz_revised gamma = 0.5,36,1.3004542753801605,2.7338347428095853,0.4756886928884635,0.3055555555555556,2.114340760837327,3.6450489006913784,0.24051005152973998
../factor model/10_Industry_Portfolios_Monthly.csv,200701,201112,201501,Markowitz_revised gamma = 0.9,36,1.3179449088519521,2.7332404150049494,0.48219135851229744,0.3055555555555556,2.0723935691464,3.769377822975509,0.24572421967872554
""
../factor model/10_Industry_Portfolios_Monthly.csv,200701,201112,201501,SAA_CVaR,36,1.5473236058623037,2.776738000191823,0.5572450860525593,0.25,2.3461669514032915,4.303983689114129,0.29161939247739704
../factor model/10_Industry_Portfolios_Monthly.csv,200701,201112,201501,Popescu 2007,36,1.32607981790932,2.735378538988373,0.4847884119174764,0.3055555555555556,2.055899231155463,3.8162804986521586,0.24830724220846978
""
../factor model/10_Industry_Portfolios_Monthly.csv,200701,201112,201501,Popescu 2 cluster portfolios (3factor),36,1.4445248444099983,2.6280823306463397,0.5496497684129773,0.2777777777777778,2.060133619191503,3.4101908983651033,0.24218127264014763
../factor model/10_Industry_Portfolios_Monthly.csv,200701,201112,201501,Popescu 3 cluster portfolios (3factor),36,1.4510777166758224,2.631188225588642,0.5514914146254936,0.2777777777777778,2.070844920238537,2.9689080610125496,0.24628007419198797
../factor model/10_Industry_Portfolios_Monthly.csv,200701,201112,201501,Popescu 4 cluster portfolios (3factor),36,1.4777160094495099,2.6320433484307966,0.5614330061586988,0.2777777777777778,2.0566109809285678,3.2772716002441165,0.23490723074300066
""
../factor model/10_Industry_Portfolios_Monthly.csv,200701,201112,201501,Popescu 2 cluster portfolios (return),36,1.4757186007107104,2.549111771915971,0.5789148271052572,0.3333333333333333,1.5046284454418293,2.6413663812186075,0.20838592293805616
../factor model/10_Industry_Portfolios_Monthly.csv,200701,201112,201501,Popescu 3 cluster portfolios (return),36,1.5287503657373913,2.6311560901224995,0.58101850037571,0.2777777777777778,1.9345627333329323,3.2349328855301716,0.20355433277366192
../factor model/10_Industry_Portfolios_Monthly.csv,200701,201112,201501,Popescu 4 cluster portfolios (return),36,1.4134909094378736,2.5583748644651085,0.5524956209782802,0.2777777777777778,1.9203811583376202,3.6375818067420966,0.2229478200459618
""
""
filepath,start_time,train_test_split,end_time,method,number of sample,test_return_mean,test_return_std,Sharper ratio,Loss_Probability,Conditional Loss,VaR,CVaR
../factor model/10_Industry_Portfolios_Monthly.csv,200801,201212,201601,naive policy 1/N portfolios,36,1.0949444444444443,3.06015939984654,0.35780634319223803,0.3333333333333333,2.451833333333333,3.1167500000000006,0.2504722222222222
""
../factor model/10_Industry_Portfolios_Monthly.csv,200801,201212,201601,Markowitz_revised gamma = 0.1,36,0.99539193473047,3.3091010905410068,0.30080432948264296,0.3611111111111111,2.4647553730303806,5.921472880921433,0.3961977265320775
../factor model/10_Industry_Portfolios_Monthly.csv,200801,201212,201601,Markowitz_revised gamma = 0.5,36,1.0185242418676375,3.0246741080167063,0.3367385065280599,0.3611111111111111,2.314211358372477,4.2003051080393154,0.29057776215145903
