filepath,start_time,train_test_split,end_time,method,number of sample,test_return_mean,test_return_std,Sharper ratio,Loss_Probability,Conditional Loss,VaR,CVaR
../factor model/17_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,"PCA to 2D, 3 clusters",62,0.07031124014706652,0.47089354343667794,0.14931451307214924,0.45161290322580644,0.3413247109910193,0.6031981826252932,0.0476051794748848
../factor model/17_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,"PCA to 3D, 3 clusters",62,0.0725167648868443,0.4763127320036766,0.1522461190188898,0.45161290322580644,0.34265290864067877,0.6116616571713241,0.048116784315356605
../factor model/17_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,"PCA to 4D, 3 clusters",62,0.0725167648868443,0.4763127320036766,0.1522461190188898,0.45161290322580644,0.34265290864067877,0.6116616571713241,0.048116784315356605
../factor model/17_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,"PCA to 5D, 3 clusters",62,0.07183172412421619,0.47312986832468584,0.15182242537036703,0.45161290322580644,0.34132344744849435,0.6072210032012046,0.04756515380822095
../factor model/17_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,"PCA to 6D, 3 clusters",62,0.07073803333528357,0.4765691351447413,0.14843183940940563,0.46774193548387094,0.33390878585064265,0.60473037947951,0.04832916889119668
../factor model/17_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,"PCA to 7D, 3 clusters",62,0.0707380333351138,0.4765691351444361,0.14843183940914445,0.46774193548387094,0.33390878585070805,0.6047303794780869,0.04832916889114717
../factor model/17_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,"PCA to 8D, 3 clusters",62,0.07073803333528357,0.4765691351447413,0.14843183940940563,0.46774193548387094,0.33390878585064265,0.60473037947951,0.04832916889119668
../factor model/17_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,"PCA to 9D, 3 clusters",62,0.07073803333528357,0.4765691351447413,0.14843183940940563,0.46774193548387094,0.33390878585064265,0.60473037947951,0.04832916889119668
filepath,start_time,train_test_split,end_time,method,number of sample,test_return_mean,test_return_std,Sharper ratio,Loss_Probability,Conditional Loss,VaR,CVaR
../factor model/17_Industry_Portfolios_Daily.csv,20120101,20161231,20170701,"PCA to 2D, 3 clusters",125,0.05363660193777836,0.47586542108446683,0.1127138042842953,0.472,0.33910517018906483,0.6800614273570855,0.052427411680907435
../factor model/17_Industry_Portfolios_Daily.csv,20120101,20161231,20170701,"PCA to 3D, 3 clusters",125,0.05397661569799849,0.47875797711784435,0.11274301061872931,0.464,0.3466767622364562,0.6892944284341973,0.05284857486376574
../factor model/17_Industry_Portfolios_Daily.csv,20120101,20161231,20170701,"PCA to 4D, 3 clusters",125,0.0539766156979838,0.478757977117826,0.11274301061870295,0.464,0.34667676223650135,0.6892944284340935,0.052848574863764375
../factor model/17_Industry_Portfolios_Daily.csv,20120101,20161231,20170701,"PCA to 5D, 3 clusters",125,0.05366653639624771,0.47965188007984083,0.11188642977343194,0.464,0.34788154097045826,0.6953949391001001,0.05296846155329445
../factor model/17_Industry_Portfolios_Daily.csv,20120101,20161231,20170701,"PCA to 6D, 3 clusters",125,0.053460814257477035,0.47823602974534585,0.11178750853620165,0.464,0.34703868354052214,0.6907454377860001,0.05289793708196935
../factor model/17_Industry_Portfolios_Daily.csv,20120101,20161231,20170701,"PCA to 7D, 3 clusters",125,0.053460814257397876,0.47823602974510204,0.11178750853609312,0.464,0.347038683540322,0.6907454377835189,0.052897937081972365
../factor model/17_Industry_Portfolios_Daily.csv,20120101,20161231,20170701,"PCA to 8D, 3 clusters",125,0.05346081425748721,0.4782360297454653,0.111787508536195,0.464,0.3470386835405171,0.6907454377860418,0.05289793708199215
../factor model/17_Industry_Portfolios_Daily.csv,20120101,20161231,20170701,"PCA to 9D, 3 clusters",125,0.053629481045715535,0.4791086507809801,0.111935948053319,0.464,0.3482076341339221,0.7017229111208219,0.05293208716058971
