Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,Mkt-Rf
200103,-0.0465,-0.0306,-0.0731,-0.0031,-0.1359,-0.0569,-0.0287,-0.0844,0.0164,-0.0411,0.0646
200104,0.0093,0.0844,0.0848,0.1032,0.1799,0.0251,0.056,0.0399,0.0546,0.0578,-0.0472
200105,0.0335,-0.0232,0.0289,0.0009,-0.0333,-0.0128,0.016,0.0303,0.0001,0.0375,0.0318
200106,-0.0161,0.0348,-0.0452,-0.0771,0.0148,-0.03,-0.0249,-0.0285,-0.0622,0.0003,-0.0103
200107,-0.0019,0.0328,0.005,-0.0255,-0.0758,-0.0067,0.0459,0.023,-0.0366,-0.0227,0.0557
200108,0.0251,-0.1136,-0.0191,-0.0359,-0.1265,-0.0924,-0.0698,-0.0311,0.0042,-0.0533,0.0251
200109,-0.0257,-0.169,-0.1276,-0.0565,-0.1894,-0.0245,-0.096,-0.0059,-0.0639,-0.083,0.016
200110,0.0108,0.009,0.0388,0.0478,0.1568,-0.0939,0.0164,0.0118,0.0141,-0.0058,-0.081
200111,0.0208,0.155,0.0835,-0.0411,0.1592,0.0609,0.1014,0.0504,-0.0163,0.0792,0.0201
200112,0.0202,-0.0091,0.0267,0.0616,-0.0059,0.0274,0.0451,-0.0288,0.0385,0.033,0.011
200201,0.0192,0.0294,0.0165,-0.0299,-0.0056,-0.0714,0.0276,-0.0236,-0.0407,-0.0292,0.0333
200202,0.0436,0.0305,0.043,0.0519,-0.132,-0.0239,-0.0009,-0.0051,-0.0025,-0.0052,0.025
200203,0.0374,0.0692,0.0496,0.0781,0.0643,0.0031,0.0203,0.0047,0.1004,0.0543,0.011
200204,0.0266,0.0174,-0.0148,-0.044,-0.1176,-0.1271,-0.0138,-0.0759,-0.0056,-0.0374,0.0392
200205,0.0144,-0.0021,-0.0031,-0.0059,-0.0378,0.0301,-0.0126,-0.0223,-0.0647,-0.0039,0.0168
200206,-0.0579,-0.0811,-0.0311,-0.0044,-0.1221,-0.144,-0.0508,-0.096,-0.0536,-0.0538,0.0012
200207,-0.0672,-0.1226,-0.0851,-0.1195,-0.0963,-0.1167,-0.1131,-0.0255,-0.123,-0.0641,-0.0344
200208,0.0249,0.0038,-0.0127,0.0054,-0.0087,0.0033,0.019,0.0065,0.0338,0.0114,0.0252
200209,-0.0768,-0.1108,-0.0826,-0.0813,-0.1674,-0.093,-0.094,-0.0586,-0.1086,-0.107,0.0132
200210,0.0522,-0.033,0.0389,0.0328,0.1941,0.2136,0.057,0.0568,-0.0068,0.0638,-0.0545
200211,-0.0127,0.1207,0.0623,0.0317,0.1614,0.1176,0.0193,0.0371,0.0162,0.0461,-0.0112
200212,0,-0.0726,-0.0376,0.0076,-0.1303,-0.0907,-0.0694,-0.0405,0.0385,-0.0498,0.0223
200301,-0.0478,-0.0323,-0.0407,-0.0241,-0.0147,-0.0353,-0.0477,-0.0059,-0.0317,-0.0232,-0.0093
200302,-0.0311,-0.0505,-0.0216,0.0198,0.0127,-0.0644,-0.0121,-0.0194,-0.0392,-0.0262,-0.0145
200303,-0.0267,-0.0276,0.0131,0.0118,-0.0097,-0.006,0.0461,0.0379,0.0435,0.0075,-0.0208
200304,0.047,0.1518,0.0639,-0.0057,0.0927,0.1115,0.089,0.0432,0.0744,0.1178,0.0103
200305,0.0922,0.0285,0.0463,0.0891,0.0977,0.0616,0.0341,0.0391,0.1011,0.053,-0.0029
200306,0.0157,0.0268,0.0054,-0.0121,0.0025,0.0197,0.0347,0.0411,0.0066,0.0094,0.0068
200307,-0.0233,0.066,0.0495,-0.027,0.0567,-0.0165,0.0332,0.0062,-0.0525,0.0353,-0.0113
200308,0.0066,0.0786,0.0419,0.0626,0.0605,0.0134,0.0676,-0.0253,0.0191,0.0061,0.0203
200309,0.0111,-0.0407,-0.0375,-0.0231,-0.0089,-0.0565,-0.0453,0.0024,0.039,0.0035,0.0001
200310,0.0559,0.0697,0.0886,0.0154,0.0823,0.0666,0.0903,0.0072,0.0158,0.0642,0.0177
200311,0.0378,0.0309,0.0208,0.0061,0.0189,-0.0063,0.0058,0.0164,0.0094,0.0111,0.0185
200312,0.0331,0.123,0.0675,0.1358,0.021,0.0739,-0.0213,0.0569,0.0581,0.0448,0.0241
200401,0.0012,-0.0112,-0.0062,0.0045,0.045,0.0142,0.0045,0.0304,0.0192,0.0272,0.0197
200402,0.0428,-0.0011,0.0199,0.0469,-0.0293,-0.0079,0.0608,0.0091,0.0206,0.0202,0.005
200403,-0.003,-0.0115,-0.0022,-0.0016,-0.0254,-0.0244,0.003,-0.0391,0.0117,-0.0061,0.0022
200404,0.0151,0.0238,-0.0019,0.0248,-0.049,-0.0051,-0.0268,0.0357,-0.0351,-0.0384,-0.0262
200405,-0.0219,-0.0161,0.0159,0.0042,0.0483,-0.0295,0.0027,-0.0038,0.0128,0.0208,-0.0039
200406,0.0187,0.0508,0.0535,0.0549,0.0263,0.0056,0.0007,-0.0038,0.0201,0.0151,0.0139
200407,-0.0583,-0.0469,-0.0404,0.0328,-0.0849,-0.0127,-0.0398,-0.0588,0.0105,-0.024,0.0412
200408,0.0083,-0.023,0.0128,-0.0124,-0.0443,0.0128,-0.0115,0.0166,0.0367,0.0193,0.0102
200409,-0.0176,0.0245,0.0191,0.0888,0.0329,0.0134,0.0258,-0.0141,0.0142,0.0124,-0.0025
200410,0.0287,-0.0265,-0.0137,0.0066,0.0503,0.0336,0.0308,-0.024,0.0423,0.0122,-0.0062
200411,0.0452,0.0718,0.0717,0.0656,0.0584,0.0342,0.0361,0.0066,0.0492,0.0496,0.018
