Date,state,seq
2009/1/1,2,2
2009/2/1,2,2
2009/3/1,4,1
2009/4/1,4,1
2009/5/1,4,1
2009/6/1,2,1
2009/7/1,3,1
2009/8/1,1,1
2009/9/1,3,1
2009/10/1,1,2
2009/11/1,1,1
2009/12/1,3,1
2010/1/1,3,2
2010/2/1,3,1
2010/3/1,3,1
2010/4/1,3,1
2010/5/1,3,2
2010/6/1,3,2
2010/7/1,3,1
2010/8/1,3,2
2010/9/1,3,1
2010/10/1,1,1
2010/11/1,2,2
2010/12/1,2,1
2011/1/1,2,1
2011/2/1,2,1
2011/3/1,1,2
2011/4/1,1,1
2011/5/1,1,2
2011/6/1,4,2
2011/7/1,2,2
2011/8/1,1,2
2011/9/1,1,2
2011/10/1,3,1
2011/11/1,3,2
2011/12/1,3,1
2012/1/1,1,1
2012/2/1,1,1
2012/3/1,1,1
2012/4/1,3,2
2012/5/1,3,2
2012/6/1,3,1
2012/7/1,4,1
2012/8/1,2,1
2012/9/1,2,1
2012/10/1,2,2
2012/11/1,3,1
2012/12/1,3,1
2013/1/1,1,1
2013/2/1,1,1
2013/3/1,3,1
2013/4/1,4,1
2013/5/1,4,1
2013/6/1,1,2
2013/7/1,1,1
2013/8/1,1,2
2013/9/1,3,1
2013/10/1,3,1
2013/11/1,2,1
2013/12/1,2,1
2014/1/1,2,2
2014/2/1,4,1
2014/3/1,1,1
2014/4/1,1,1
2014/5/1,1,1
2014/6/1,3,1
2014/7/1,3,2
2014/8/1,3,1
2014/9/1,3,2
2014/10/1,4,1
2014/11/1,3,1
2014/12/1,3,2
2015/1/1,3,2
2015/2/1,1,1
2015/3/1,1,2
2015/4/1,3,1
2015/5/1,1,1
2015/6/1,2,2
2015/7/1,2,1
2015/8/1,4,2
2015/9/1,4,2
2015/10/1,4,1
2015/11/1,4,1
2015/12/1,4,2
2016/1/1,4,2
2016/2/1,4,2
2016/3/1,2,1
2016/4/1,2,1
2016/5/1,2,1
2016/6/1,2,1
2016/7/1,4,1
2016/8/1,2,2
2016/9/1,2,2
2016/10/1,2,2
2016/11/1,2,1
2016/12/1,1,1
2017/1/1,1,1
2017/2/1,3,1
2017/3/1,3,2
2017/4/1,1,1
2017/5/1,3,1
2017/6/1,3,1
2017/7/1,3,1
2017/8/1,1,1
2017/9/1,1,1
2017/10/1,3,1
2017/11/1,1,1
