Date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
19260701,0.11,-0.13,-0.37,0.16,0.11,0.07
19260702,0.24,-0.22,0.31,0.52,0.47,0.3
19260706,0.34,0.45,0.19,0.3,0.1,-0.24
19260707,0.05,-0.25,-0.59,0.07,0.13,0.78
19260708,-0.03,-0.02,0.08,0.37,0.18,0.57
19260709,-0.87,-0.01,0.12,-0.72,-0.76,-0.59
19260710,-0.03,0.2,0.18,0.91,0.54,0.4
19260712,-0.35,0.07,0.69,0.18,-0.09,0.22
19260713,0.08,-0.05,0.39,0.79,0.4,0.01
19260714,-0.06,0.17,-0.26,0.23,-0.12,-0.53
19260715,0.56,-0.22,-0.17,-0.65,-0.29,-0.52
19260716,0.98,0.4,0.13,0.7,0.4,0.4
19260717,0.7,0.7,0.42,0.74,0.03,-0.24
19260719,0.14,0.3,-0.57,0.07,-0.01,-0.2
19260720,-0.96,-0.71,-0.6,-0.55,-0.43,-0.6
19260721,-0.27,-0.69,0,-0.66,-0.62,-0.32
19260722,-1.15,-0.91,-1.41,-0.97,-0.55,-1.04
19260723,0.26,-0.33,0.33,-0.01,0,0.03
19260724,0.52,0.41,0.09,-0.25,-0.11,0.07
19260726,0.2,0.02,0.19,0.79,0.46,0.3
19260727,-0.14,0.39,0.18,0.59,0.41,0.79
19260728,0.76,1.26,1.05,1.5,0.81,0.65
19260729,-0.07,-0.1,-0.87,0.92,0.18,-0.32
19260730,-0.26,-0.05,0.07,0.03,0.35,0.8
19260731,0.73,0.21,0.32,0.6,0.37,0.66
19260802,-0.36,1.09,0.72,1.22,0.79,0.09
19260803,1.03,-0.22,0.18,0.98,0.17,0.64
19260804,0.02,-0.43,-0.03,-0.64,-0.19,-0.09
19260805,-0.14,0.03,0.45,-0.29,0.02,0.59
19260806,0.63,1.11,0.71,0.72,0.55,0.95
19260807,0.69,0.52,0.66,0.95,0.18,0.49
19260809,0.18,-0.13,0.31,0.59,-0.04,-0.05
19260810,-1.11,-0.94,-1.29,-1.99,-0.98,-1.39
19260811,-0.84,-0.17,-0.19,-0.68,-0.47,-0.67
19260812,0.14,0.43,0.43,0.99,0.79,1.53
19260813,-0.43,-0.27,0.17,0.73,0.65,0.63
19260814,0.55,1.18,0.53,1.05,0.41,0.36
19260816,0.38,0.16,0.84,-0.22,0.18,0.73
19260817,-0.5,-0.98,-0.55,-1.36,-0.69,-0.99
19260818,0.69,0.5,0.34,0.37,0.12,0.79
19260819,-0.43,-0.57,-0.42,-0.73,-0.52,-0.53
19260820,-0.9,-0.56,-0.14,-0.23,-0.15,-0.15
