Date,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
192607,0.56,-5.19,1.29,2.93,10.97,-0.48,8.08,1.77,8.14,0.39,2.07,4.07,5.43,3.18,16.39,1.02,5.64,1.54,-1.4,7.04,0.83,9.22,2.06,7.7,1.93,-23.79,0.07,1.87,0.37,5.2
192608,2.59,27.03,6.5,0.55,10.01,-3.58,-2.51,4.25,5.5,8.14,4.72,2.17,2.06,2.1,4.23,1.66,0.55,0.85,3.69,-1.69,2.17,2.02,4.39,-2.38,4.88,5.39,-0.75,-0.13,4.46,6.76
192609,1.16,4.02,1.26,6.58,-0.99,0.73,-0.51,0.69,5.33,2.31,-0.5,0.15,0.36,-0.56,4.83,2.73,1.74,0.3,-3.69,2.04,2.41,2.25,0.19,-5.54,0.05,-7.87,0.25,-0.56,-1.23,-3.86
192610,-3.06,-3.31,1.06,-4.76,9.47,-4.68,0.12,-0.57,-4.76,1,-4.55,-3.85,1.11,-5.73,-7.93,-5.56,-3.2,2.23,-1.04,-2.63,-0.11,-2,-1.09,-5.08,-2.64,-15.38,-2.2,-4.11,-5.16,-8.49
192611,6.35,7.29,4.55,1.66,-5.8,-0.54,1.87,5.42,5.2,3.11,2.2,3.86,3.18,5.08,-0.66,7.87,8.46,-0.48,0.06,3.71,1.63,3.77,3.64,3.84,1.6,4.67,6.52,4.33,2.24,4
192612,-0.51,-4.09,2.55,2.17,0.53,2.56,0.6,0.11,5.37,6.43,3.52,3.75,5.02,-2.47,10.49,2.48,1.83,1.43,2.94,-0.17,1.99,6.21,7.24,-4.63,3.59,9.65,0.57,1.51,2.68,-2.34
192701,-0.84,0.57,-0.35,1.87,9.67,4.08,-1.06,5.05,0.23,-1.5,-1.89,-0.39,1.19,-1.02,-0.81,-0.61,4.17,-3.06,1.67,-1.79,1.88,2.08,-1.45,-2.6,1.44,-17.93,-2.7,1.52,-2.38,-3.96
192702,4.42,12.83,1.49,1.64,1.41,4.57,2.77,1.71,9.69,7.74,4.17,3.67,7.85,4.3,9.56,4.6,5.2,5.64,1.13,4.53,3.97,8.9,4.85,5.46,5.18,3.49,3.47,6.86,2.97,0.28
192703,2.09,-13.56,5.51,1.02,-0.28,-0.08,0.9,1.01,6.07,-5.39,3.46,1.48,-2.24,0.4,1.56,-1.76,4.44,5.45,-7.01,0.37,5.56,-7.8,4.29,-9.67,1.06,-20.47,-0.3,-2.42,1.36,2.18
192704,2.72,2.85,4.01,-3.77,-0.96,1.44,5.95,2.74,2.95,0.54,-0.95,-0.34,1.82,6.29,2.91,-0.75,3.02,0.95,-5.78,1.71,-2.13,3.44,3.1,4.93,0.74,-10.75,4.38,6.56,2.89,5.27
